Date,Extent
10/1/1978,10.403
11/1/1978,11.645
12/1/1978,13.667
1/1/1979,15.414
2/1/1979,16.175
3/1/1979,16.342
4/1/1979,15.447
5/1/1979,13.857
6/1/1979,12.53
7/1/1979,10.311
8/1/1979,8.041
9/1/1979,7.051
10/1/1979,8.748
11/1/1979,10.943
12/1/1979,13.336
1/1/1980,14.862
2/1/1980,15.955
3/1/1980,16.041
4/1/1980,15.429
5/1/1980,13.793
6/1/1980,12.205
7/1/1980,10.1
8/1/1980,7.984
9/1/1980,7.667
10/1/1980,9.183
11/1/1980,11.383
12/1/1980,13.593
1/1/1981,14.91
2/1/1981,15.604
3/1/1981,15.632
4/1/1981,15.01
5/1/1981,13.802
6/1/1981,12.43
7/1/1981,10.271
8/1/1981,7.844
9/1/1981,7.138
10/1/1981,8.856
11/1/1981,10.929
12/1/1981,13.341
1/1/1982,15.177
2/1/1982,15.974
3/1/1982,16.044
4/1/1982,15.466
5/1/1982,13.973
6/1/1982,12.476
7/1/1982,10.367
8/1/1982,8.14
9/1/1982,7.302
10/1/1982,9.421
11/1/1982,11.627
12/1/1982,13.642
1/1/1983,14.942
2/1/1983,16.006
3/1/1983,16.085
4/1/1983,15.172
5/1/1983,13.491
6/1/1983,12.296
7/1/1983,10.57
8/1/1983,8.186
9/1/1983,7.395
10/1/1983,9.334
11/1/1983,11.461
12/1/1983,13.298
1/1/1984,14.473
2/1/1984,15.299
3/1/1984,15.584
4/1/1984,15.014
5/1/1984,13.577
6/1/1984,12.152
7/1/1984,9.978
8/1/1984,7.771
9/1/1984,6.805
10/1/1984,8.561
11/1/1984,10.842
12/1/1984,12.989
1/1/1985,14.725
2/1/1985,15.466
3/1/1985,15.886
4/1/1985,15.357
5/1/1985,14.073
6/1/1985,12.219
7/1/1985,9.745
8/1/1985,7.402
9/1/1985,6.698
10/1/1985,8.546
11/1/1985,11.025
12/1/1985,13.05
1/1/1986,14.89
2/1/1986,15.785
3/1/1986,15.909
4/1/1986,15.059
5/1/1986,13.38
6/1/1986,11.976
7/1/1986,10.146
8/1/1986,7.98
9/1/1986,7.411
10/1/1986,9.484
11/1/1986,11.453
12/1/1986,13.222
1/1/1987,14.97
2/1/1987,16.05
3/1/1987,15.816
4/1/1987,15.211
5/1/1987,13.743
6/1/1987,12.486
7/1/1987,10.333
8/1/1987,7.5
9/1/1987,7.279
10/1/1987,9.049
11/1/1987,11.224
12/1/1987,12.54
1/1/1988,15.09
2/1/1988,15.583
3/1/1988,15.957
4/1/1988,15.123
5/1/1988,13.561
6/1/1988,11.943
7/1/1988,9.809
8/1/1988,7.892
9/1/1988,7.369
10/1/1988,9.135
11/1/1988,11.331
12/1/1988,13.626
1/1/1989,14.955
2/1/1989,15.496
3/1/1989,15.423
4/1/1989,14.328
5/1/1989,13.044
6/1/1989,12.245
7/1/1989,10.13
8/1/1989,7.882
9/1/1989,7.008
10/1/1989,8.829
11/1/1989,11.115
12/1/1989,13.387
1/1/1990,14.783
