Date,Extent
10/1/1978,17.699
11/1/1978,15.896
12/1/1978,10.395
1/1/1979,5.402
2/1/1979,3.141
3/1/1979,3.999
4/1/1979,7.486
5/1/1979,10.827
6/1/1979,14.187
7/1/1979,16.517
8/1/1979,17.698
9/1/1979,18.196
10/1/1979,17.82
11/1/1979,15.337
12/1/1979,9.236
1/1/1980,4.562
2/1/1980,2.818
3/1/1980,3.295
4/1/1980,5.405
5/1/1980,8.857
6/1/1980,12.49
7/1/1980,15.564
8/1/1980,17.806
9/1/1980,18.817
10/1/1980,18.568
11/1/1980,16.133
12/1/1980,10.156
1/1/1981,4.412
2/1/1981,2.874
3/1/1981,3.392
4/1/1981,5.838
5/1/1981,9.355
6/1/1981,13.109
7/1/1981,16.039
8/1/1981,17.736
9/1/1981,18.596
10/1/1981,18.294
11/1/1981,16.111
12/1/1981,10.895
1/1/1982,5.26
2/1/1982,3.128
3/1/1982,4.288
4/1/1982,7.723
5/1/1982,10.758
6/1/1982,13.417
7/1/1982,15.872
8/1/1982,17.789
9/1/1982,18.353
10/1/1982,17.788
11/1/1982,15.537
12/1/1982,9.216
1/1/1983,4.77
2/1/1983,3.07
3/1/1983,4.016
4/1/1983,6.47
5/1/1983,9.526
6/1/1983,12.643
7/1/1983,15.467
8/1/1983,17.251
9/1/1983,18.585
10/1/1983,17.915
11/1/1983,16.014
12/1/1983,10.394
1/1/1984,4.779
2/1/1984,2.677
3/1/1984,3.612
4/1/1984,6.422
5/1/1984,9.748
6/1/1984,13.23
7/1/1984,16.395
8/1/1984,17.928
9/1/1984,18.171
10/1/1984,17.573
11/1/1984,16.134
12/1/1984,10.473
1/1/1985,4.455
2/1/1985,2.836
3/1/1985,3.717
4/1/1985,6.493
5/1/1985,10.153
6/1/1985,13.429
7/1/1985,15.721
8/1/1985,17.632
9/1/1985,18.703
10/1/1985,18.204
11/1/1985,16.14
12/1/1985,11.352
1/1/1986,5.422
2/1/1986,3.193
3/1/1986,3.698
4/1/1986,6.386
5/1/1986,9.296
6/1/1986,12.687
7/1/1986,15.317
8/1/1986,16.999
9/1/1986,17.683
10/1/1986,17.184
11/1/1986,15.007
12/1/1986,9.654
1/1/1987,5.126
2/1/1987,3.254
3/1/1987,4.113
4/1/1987,6.797
5/1/1987,9.694
6/1/1987,12.684
7/1/1987,15.752
8/1/1987,17.661
9/1/1987,18.246
10/1/1987,17.674
11/1/1987,15.584
12/1/1987,13.379
1/1/1988,3.817
2/1/1988,2.886
3/1/1988,3.966
4/1/1988,6.287
5/1/1988,9.602
6/1/1988,13.093
7/1/1988,15.749
8/1/1988,17.561
9/1/1988,18.307
10/1/1988,18.361
11/1/1988,16.148
12/1/1988,11.061
1/1/1989,4.737
2/1/1989,2.978
3/1/1989,3.927
4/1/1989,6.306
5/1/1989,10.297
6/1/1989,13.58
7/1/1989,15.711
8/1/1989,17.466
9/1/1989,18.121
10/1/1989,17.856
11/1/1989,15.733
12/1/1989,9.838
1/1/1990,4.867
2/1/1990,3.036
3/1/1990,3.966
4/1/1990,7
5/1/1990,9.715
6/1/1990,13.083
